1,Apple (fresh),Jabłko (świeże)
2,Avocado,Awokado
3,Bacon (fried),Boczek wieprzowy (smażony)
4,Baked beans,Fasolka po bretońsku
5,Banana,Banan
6,Beer,Piwo
7,Breaded chicken strips,Kurczak w panierce
8,Burrito,Burrito
9,Butter 83%,Masło 83%
10,Cabbage soup,Kapuśniak
11,Cereals,Płatki zbożowe
12,Cheeseburger,Cheeseburger
13,Chicken soup,Rosół
14,Chili con carne,Chili con carne
15,Chocolate,Czekolada
16,Coleslaw salad,Surówka Colesław
17,Cream soup with white vegetable,Zupa krem z białych warzyw
18,Donut,Pączek
19,Dried dates,Daktyle suszone
20,French baguette,Bagietka francuska
21,Fried beetroot,Buraczki zasmażane
22,Gouda cheese,Ser Gouda
23,Goulash soup,Zupa gulaszowa
24,Green olives (pickled),Zielone oliwki (marynowane)
25,Groat,Kasza
26,Hamburger,Hamburger
27,Hard-boiled egg,Jajko na twardo
28,Ice cream,Lody
29,Kebab,Kebab
30,Kiwi,Kiwi
31,Lasagna,Lasagne
32,Mashed potatoes,Ziemniaki gotowane – puree
33,Milk 2%,Mleko 2%
34,Mozzarella cheese,Ser Mozzarella
35,Muffin,Babeczka (Muffin)
36,Onion rings,Krążki cebulowe
37,Pasta,Makaron
38,Pea soup,Zupa grochowa
39,Peanuts,Orzechy ziemne
40,Pho soup,Zupa Pho
41,Pickles,Ogórki konserwowe
42,Pizza,Pizza
43,Popcorn,Popcorn
44,Pork ham,Szynka wieprzowa
45,Red bean (raw),Czerwona fasola (surowa)
46,Rice,Ryż
47,Roasted pork neck,Karczek pieczony
48,Scrambled eggs,Jajecznica
49,Strawberries,Truskawski
50,Sushi,Sushi
51,Sweet roll,Słodka bułka
52,Swiss cheese,Ser szwajcarski Camembert
53,Taco with beef,Taco z wołowiną
54,Tofu,Tofu
55,Tomato (fresh),Pomidor (świeży)
56,Tuna salad,Sałatka z tuńczykiem
57,Vodka,Wódka
58,Watermelon,Arbuz
59,Wheat bread,Chleb pszenny
60,White borscht,Barszcz biały
61,White cheese,Ser biały
62,Wine,Wino
63,Yoghurt,Jogurt
64,Cheese,Ser
65,Dairy,Mleczne
66,Soup,Zupa
67,Nuts,Orzechy
68,Bread,Pieczywo
69,Sweets,Słodycze
70,Vegetarian,Wegetariańskie
71,Mexican,Meksykańskie
72,Spicy,Ostre
73,Fish,Rybne
74,Meat,Mięso
75,Drink,Drink
76,Chicken,Kurczak
77,Fruits,Owoce
78,Italian,Włoskie
79,Chinese,Chińszczyzna
